experiment_id,timestamp,hypothesis,features,label_horizon_ms,model,training_period,validation_period,test_period,cost_model_bps,n_features,gross_expectancy_bps,net_expectancy_bps,ci_low,ci_high,pct_above_gate,verdict,notes,horizon,result,gross_bps,net_taker_bps,net_maker_bps,ci_lower,ci_upper,event_rate,ic,n_samples,rejected_reason,maker_net_bps,taker_net_bps,ci_lower_maker,ci_upper_maker,accuracy,auc,turnover,trade_count
EXP-001,2026-08-22T09:09:23.564457+00:00,OFI/MLOFI ridge on 500ms horizon,V5_17_features,500,Ridge,20260818-1907_1908,20260818-1937_1943,20260818-1946_1952,2.0,17.0,0.069,-1.931,-1.94,-1.92,0.0,HYPOTHESIS_REJECTED,Gross positive but consumed by maker fee. 0% above gate.,,,,,,,,,,,,,,,,,,,
EXP-002,2026-08-22T09:09:23.565008+00:00,Nonlinear MLP with OFI interactions,V5_17_plus_8_interactions,500,MLP_32_16,20260818-1907_1908,20260818-1937_1943,20260818-1946_1952,2.0,25.0,0.1,-1.9,-1.91,-1.89,0.0,HYPOTHESIS_REJECTED,MLP did not improve over ridge. Same cost constraint.,,,,,,,,,,,,,,,,,,,
EXP-003,2026-08-22T09:09:23.565174+00:00,Multi-level OFI + queue dynamics + microprice + toxicity,V7_46_features,500,Ridge,20260818-1907_1920,20260818-1937_1943,20260818-1946_1952,2.0,46.0,0.045,-1.955,-1.959,-1.951,0.0,HYPOTHESIS_REJECTED,Best gross so far (+0.045) but 44x below maker fee. Purged split: -0.003.,,,,,,,,,,,,,,,,,,,
EXP-004,2026-08-22T09:09:23.565367+00:00,V7 features with purged chronological split,V7_46_features_purged,500,Ridge_purged,20260818-1907_1920,20260818-1937_1943_embargo,20260818-1946_1952,2.0,46.0,-0.003,-2.003,-2.01,-1.99,0.0,HYPOTHESIS_REJECTED,"With proper purging/embargo, the small positive signal disappears.",,,,,,,,,,,,,,,,,,,
EXP-005,2026-08-23T16:27:47.663390+00:00,Direction-Magnitude Decomposition (500ms),5_direction + 5_magnitude,500,Logistic+Ridge,20260818-1907_1920,20260818-1937_1943,20260818-1946_1952,2.5,10.0,0.0,-2.5,-2.5,-2.5,0.0,HYPOTHESIS_REJECTED,88% of 500ms returns are 0.0 bps. Direction model predicts majority class (94% down). Magnitude gate never triggers (E[|r|]=0.05 vs 2.0 threshold).,,,,,,,,,,,,,,,,,,,
EXP-006,2026-08-23T16:27:47.664727+00:00,Direction-Magnitude Decomposition (30s),5_direction + 5_magnitude,30000,Logistic+Ridge,20260818-1907_1920,20260818-1937_1943,20260818-1946_1952,2.5,10.0,0.0,-2.5,-2.5,-2.5,0.0,HYPOTHESIS_REJECTED,"At 30s: direction accuracy=baseline (0.70), magnitude corr=0.004 (zero). Features have no predictive power at longer horizons.",,,,,,,,,,,,,,,,,,,
EXP-007,2026-08-23T19:29:30.680092+00:00,Horizon-Matched Feature Aggregation (HORIZON-OFI),horizon_matched_ofi_tfi_vpin_vol_depth_10feat,30000,Ridge_per_horizon,20260818-1907_first_70pct,20260818-1907_70_85pct,20260818-1907_last_15pct,2.5,10.0,-0.1368,-2.6368,-2.3809,-2.3358,0.0,HYPOTHESIS_REJECTED,All 4 horizons rejected. Direction accuracy 0.15-0.40 (below random). 0% above gate at all horizons. Feature-horizon mismatch not the issue; signals have no predictive content at any scale.,,,,,,,,,,,,,,,,,,,
EXP-008,2026-08-23T19:36:41.570637+00:00,Volatility-Regime Conditional Trading,regime_conditional_V5_18_features,30000,Ridge_per_regime,20260818-1907_first_70pct_per_regime,20260818-1907_70_85pct_per_regime,20260818-1907_last_15pct_per_regime,2.5,18.0,-0.2274,-2.6368,-2.3809,-2.3358,0.0,HYPOTHESIS_REJECTED,Tested 4 vol regimes (zero/low/med/high) x 5 horizons (500ms-30s). Direction accuracy improves over baseline in some regimes but predicted magnitude is tiny (<0.5 bps). All regimes: 0% above 2.5bps gate. No positive net expectancy at any horizon/regime. Volatility signal sparse (82% events have zero_vol).,,,,,,,,,,,,,,,,,,,
EXP-009,2026-08-23T19:42:05.520874+00:00,Order-Book Resiliency Signal (depth replenishment dynamics),V5_13_base_plus_10_resiliency_features,5000,Ridge_resiliency,20260818-1907_first_70pct,20260818-1907_70_85pct,20260818-1907_last_15pct,2.5,23.0,0.0963,-2.4037,-2.4128,-2.3947,0.0,HYPOTHESIS_REJECTED,Resiliency features do NOT improve prediction. V5_plus_resiliency R2=0.207 vs V5_baseline R2=0.194 at 500ms — marginal improvement but net worse. Direction accuracy similar or worse with resiliency features. 0% above gate at all horizons. Resiliency dynamics contain no additional predictive content beyond static snapshot features.,,,,,,,,,,,,,,,,,,,
EXP-010,2026-08-23T19:46:52.938001+00:00,"Multi-Horizon Signal Ensemble (simple avg, inv-var weighted, meta-model)",V5_18_features_ensemble_5horizons,500,Ridge_ensemble,20260818-1907_first_70pct,20260818-1907_70_85pct,20260818-1907_last_15pct,2.5,18.0,-0.2935,-2.7697,-2.7697,-2.7697,0.0,HYPOTHESIS_REJECTED,"All 3 ensemble strategies WORSE than best single horizon (500ms). Meta-model R2=0.48 at 500ms but net=-2.51bps. Inv-var weights put 81% on 30s model (worst performer). Signals not complementary: short horizons have weak positive signal, long horizons have negative signal. 0% above gate at all horizons. Combining signals across horizons does not create new information.",,,,,,,,,,,,,,,,,,,
